,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Has_Family
21,1,0.5,0.0,0.425,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
22,1,1.0,1.0,0.1875,0.0,0.0,0.015671954672893913,0.0,1.0,0.0,0.0
23,1,0.0,0.0,0.35,0.0,0.0,0.06929138530460492,0.0,0.0,1.0,0.0
24,0,1.0,1.0,0.1,0.375,0.1111111111111111,0.04113566043083236,0.0,0.0,1.0,1.0
25,1,1.0,1.0,0.475,0.125,0.5555555555555556,0.061264319894317944,0.0,0.0,1.0,1.0
26,0,1.0,0.0,0.35,0.0,0.0,0.014102260811993537,1.0,0.0,0.0,0.0
27,0,0.0,0.0,0.2375,0.375,0.2222222222222222,0.5133418122566505,0.0,0.0,1.0,1.0
28,1,1.0,1.0,0.35,0.0,0.0,0.01537917417160685,0.0,1.0,0.0,0.0
29,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
30,0,0.0,0.0,0.5,0.0,0.0,0.05410739813385612,1.0,0.0,0.0,0.0
31,1,0.0,1.0,0.35,0.125,0.0,0.2859895551532101,1.0,0.0,0.0,1.0
32,1,1.0,1.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
33,0,0.5,0.0,0.825,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
34,0,0.0,0.0,0.35,0.125,0.0,0.16038672010106,1.0,0.0,0.0,1.0
35,0,0.0,0.0,0.525,0.125,0.0,0.10149724044618187,0.0,0.0,1.0,1.0
36,1,1.0,0.0,0.35,0.0,0.0,0.014110458666029575,1.0,0.0,0.0,0.0
37,0,1.0,0.0,0.2625,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
38,0,1.0,1.0,0.225,0.25,0.0,0.03513366015444757,0.0,0.0,1.0,1.0
39,1,1.0,1.0,0.175,0.125,0.0,0.021942337075458514,1.0,0.0,0.0,1.0
40,0,1.0,1.0,0.5,0.125,0.0,0.018493968331299484,0.0,0.0,1.0,1.0
41,0,0.5,1.0,0.3375,0.125,0.0,0.04098927018018883,0.0,0.0,1.0,1.0
42,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,1.0,0.0,0.0,0.0
43,1,0.5,1.0,0.0375,0.125,0.2222222222222222,0.08115719346076702,1.0,0.0,0.0,1.0
44,1,1.0,1.0,0.2375,0.0,0.0,0.01537917417160685,0.0,1.0,0.0,0.0
45,0,1.0,0.0,0.35,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
46,0,1.0,0.0,0.35,0.125,0.0,0.030253985132996517,0.0,1.0,0.0,1.0
47,1,1.0,1.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
48,0,1.0,0.0,0.35,0.25,0.0,0.04231498029001666,1.0,0.0,0.0,1.0
49,0,1.0,1.0,0.225,0.125,0.0,0.034743286152731485,0.0,0.0,1.0,1.0
50,0,1.0,0.0,0.0875,0.5,0.1111111111111111,0.07746484096553544,0.0,0.0,1.0,1.0
51,0,1.0,0.0,0.2625,0.0,0.0,0.01522458606692728,0.0,0.0,1.0,0.0
52,1,0.0,1.0,0.6125,0.125,0.0,0.1497654242623688,1.0,0.0,0.0,1.0
53,1,0.5,1.0,0.3625,0.125,0.0,0.050748620223090936,0.0,0.0,1.0,1.0
54,0,0.0,0.0,0.8125,0.0,0.1111111111111111,0.1209753416358076,1.0,0.0,0.0,1.0
55,1,0.0,0.0,0.35,0.0,0.0,0.06929138530460492,0.0,0.0,1.0,0.0
56,1,0.5,1.0,0.2625,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
57,0,1.0,0.0,0.35,0.0,0.0,0.014110458666029575,1.0,0.0,0.0,0.0
58,1,0.5,1.0,0.0625,0.125,0.2222222222222222,0.05416439273810667,0.0,0.0,1.0,1.0
59,0,1.0,0.0,0.1375,0.625,0.2222222222222222,0.09154270340242172,0.0,0.0,1.0,1.0
60,0,1.0,0.0,0.275,0.0,0.0,0.014110458666029575,1.0,0.0,0.0,0.0
61,1,0.0,1.0,0.475,0.0,0.0,0.15614960068643363,0.0,0.0,1.0,0.0
62,0,0.0,0.0,0.5625,0.125,0.0,0.16293234896625058,0.0,0.0,1.0,1.0
63,0,1.0,0.0,0.05,0.375,0.2222222222222222,0.05445717323939373,0.0,0.0,1.0,1.0
64,0,0.0,0.0,0.35,0.0,0.0,0.05410739813385612,1.0,0.0,0.0,0.0
65,1,1.0,0.0,0.35,0.125,0.1111111111111111,0.029757819776815374,1.0,0.0,0.0,1.0
66,1,0.5,1.0,0.3625,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
67,0,1.0,0.0,0.2375,0.0,0.0,0.015923941091001644,0.0,0.0,1.0,0.0
68,1,1.0,1.0,0.2125,0.5,0.2222222222222222,0.015468569817999833,0.0,0.0,1.0,1.0
69,0,1.0,0.0,0.325,0.25,0.0,0.016908073949327893,0.0,0.0,1.0,1.0
70,0,0.5,0.0,0.4,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
71,0,1.0,1.0,0.2,0.625,0.2222222222222222,0.09154270340242172,0.0,0.0,1.0,1.0
72,0,0.5,0.0,0.2625,0.0,0.0,0.1434624456306609,0.0,0.0,1.0,0.0
73,0,1.0,0.0,0.325,0.125,0.0,0.028212719478023115,1.0,0.0,0.0,1.0
74,1,1.0,0.0,0.4,0.0,0.0,0.11027245763075773,0.0,0.0,1.0,0.0
75,0,1.0,0.0,0.3125,0.0,0.0,0.014931805565640218,0.0,0.0,1.0,0.0
76,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
77,0,1.0,0.0,0.35,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
78,1,0.5,0.0,0.0,0.0,0.2222222222222222,0.056604230248832196,0.0,0.0,1.0,1.0
79,1,1.0,1.0,0.375,0.0,0.0,0.024349578357040744,0.0,0.0,1.0,0.0
80,0,1.0,0.0,0.275,0.0,0.0,0.017566830077223785,0.0,0.0,1.0,0.0
81,1,1.0,0.0,0.3625,0.0,0.0,0.018542765081513996,0.0,0.0,1.0,0.0
82,1,1.0,1.0,0.35,0.0,0.0,0.015200187691820024,0.0,1.0,0.0,0.0
83,0,0.0,0.0,0.35,0.0,0.0,0.09193307740413781,0.0,0.0,1.0,0.0
84,1,0.5,1.0,0.2125,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
85,1,1.0,1.0,0.4125,0.375,0.0,0.030937139635999665,0.0,0.0,1.0,1.0
86,0,1.0,0.0,0.2,0.125,0.3333333333333333,0.06709553154495196,0.0,0.0,1.0,1.0
87,0,1.0,0.0,0.35,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
88,1,0.0,1.0,0.2875,0.375,0.2222222222222222,0.5133418122566505,0.0,0.0,1.0,1.0
89,0,1.0,0.0,0.3,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
90,0,1.0,0.0,0.3625,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
91,0,1.0,0.0,0.25,0.0,0.0,0.015330377421392339,0.0,0.0,1.0,0.0
92,0,0.0,0.0,0.575,0.125,0.0,0.11940564777490723,0.0,0.0,1.0,1.0
93,0,1.0,0.0,0.325,0.125,0.2222222222222222,0.04015972542654215,0.0,0.0,1.0,1.0
94,0,1.0,0.0,0.7375,0.0,0.0,0.014151057562208049,0.0,0.0,1.0,0.0
95,0,1.0,0.0,0.35,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
96,0,0.0,0.0,0.8875,0.0,0.0,0.06764049365134761,1.0,0.0,0.0,0.0
97,1,0.0,0.0,0.2875,0.0,0.1111111111111111,0.12366716556464086,1.0,0.0,0.0,1.0
98,1,0.5,1.0,0.425,0.0,0.1111111111111111,0.04489301019734967,0.0,0.0,1.0,1.0
99,0,0.5,0.0,0.425,0.125,0.0,0.050748620223090936,0.0,0.0,1.0,1.0
100,0,1.0,1.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
101,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
102,0,0.0,0.0,0.2625,0.0,0.1111111111111111,0.15085515328815924,0.0,0.0,1.0,1.0
103,0,1.0,0.0,0.4125,0.0,0.0,0.016891873428256675,0.0,0.0,1.0,0.0
104,0,1.0,0.0,0.4625,0.25,0.0,0.015468569817999833,0.0,0.0,1.0,1.0
105,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
106,1,1.0,1.0,0.2625,0.0,0.0,0.014931805565640218,0.0,0.0,1.0,0.0
107,1,1.0,0.0,0.35,0.0,0.0,0.015175789316712771,0.0,0.0,1.0,0.0
108,0,1.0,0.0,0.475,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
109,1,1.0,1.0,0.35,0.125,0.0,0.04713766070721715,0.0,1.0,0.0,1.0
110,0,0.0,0.0,0.5875,0.0,0.0,0.10149724044618187,0.0,0.0,1.0,0.0
111,0,1.0,1.0,0.175,0.125,0.0,0.028212719478023115,1.0,0.0,0.0,1.0
112,0,1.0,0.0,0.275,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
113,0,1.0,1.0,0.25,0.125,0.0,0.019177122834302632,0.0,0.0,1.0,1.0
114,0,1.0,1.0,0.2125,0.0,0.0,0.028220722145058292,1.0,0.0,0.0,0.0
115,0,1.0,0.0,0.2625,0.0,0.0,0.015468569817999833,0.0,0.0,1.0,0.0
116,0,1.0,0.0,0.875,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
117,0,0.5,0.0,0.3625,0.125,0.0,0.04098927018018883,0.0,0.0,1.0,1.0
118,0,0.0,0.0,0.3,0.0,0.1111111111111111,0.4831284260198326,1.0,0.0,0.0,1.0
119,0,1.0,1.0,0.025,0.5,0.2222222222222222,0.06104473451835265,0.0,0.0,1.0,1.0
120,0,0.5,0.0,0.2625,0.25,0.0,0.1434624456306609,0.0,0.0,1.0,1.0
121,0,1.0,0.0,0.35,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
122,0,0.5,0.0,0.4,0.125,0.0,0.058694292654020104,1.0,0.0,0.0,1.0
123,1,0.5,1.0,0.4,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
124,0,0.0,0.0,0.675,0.0,0.1111111111111111,0.15085515328815924,0.0,0.0,1.0,1.0
125,1,1.0,0.0,0.15,0.125,0.0,0.021942337075458514,1.0,0.0,0.0,1.0
126,0,1.0,0.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
127,1,1.0,0.0,0.3,0.0,0.0,0.01393967004027879,0.0,0.0,1.0,0.0
128,1,1.0,1.0,0.35,0.125,0.1111111111111111,0.04364049521284361,1.0,0.0,0.0,1.0
129,0,1.0,0.0,0.5625,0.0,0.0,0.013614293309848433,0.0,0.0,1.0,0.0
130,0,1.0,0.0,0.4125,0.0,0.0,0.015411575213749284,1.0,0.0,0.0,0.0
131,0,1.0,0.0,0.25,0.0,0.0,0.013760683560491965,0.0,0.0,1.0,0.0
132,0,1.0,1.0,0.5875,0.125,0.0,0.028302115124416098,0.0,0.0,1.0,1.0
133,1,0.5,1.0,0.3625,0.125,0.0,0.050748620223090936,0.0,0.0,1.0,1.0
134,0,0.5,0.0,0.3125,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
135,0,0.5,0.0,0.2875,0.0,0.0,0.02936744577509929,1.0,0.0,0.0,0.0
136,1,0.0,1.0,0.2375,0.0,0.2222222222222222,0.051301584996521765,0.0,0.0,1.0,1.0
137,0,0.0,0.0,0.4625,0.125,0.0,0.10364429745562033,0.0,0.0,1.0,1.0
138,0,1.0,0.0,0.2,0.0,0.0,0.01798980030808316,0.0,0.0,1.0,0.0
139,0,0.0,0.0,0.3,0.0,0.0,0.15458810467956932,1.0,0.0,0.0,0.0
140,0,1.0,1.0,0.35,0.0,0.2222222222222222,0.029757819776815374,1.0,0.0,0.0,1.0
141,1,1.0,1.0,0.275,0.0,0.0,0.015126992566498259,0.0,0.0,1.0,0.0
142,1,1.0,1.0,0.3,0.125,0.0,0.030937139635999665,0.0,0.0,1.0,1.0
143,0,1.0,0.0,0.2375,0.0,0.0,0.013175122557917838,0.0,1.0,0.0,0.0
144,0,0.5,0.0,0.225,0.0,0.0,0.022446505098674834,0.0,0.0,1.0,0.0
145,0,0.5,0.0,0.2375,0.125,0.1111111111111111,0.07173122281533045,0.0,0.0,1.0,1.0
146,1,1.0,0.0,0.3375,0.0,0.0,0.015216388212891242,0.0,0.0,1.0,0.0
147,0,1.0,1.0,0.1125,0.25,0.2222222222222222,0.06709553154495196,0.0,0.0,1.0,1.0
148,0,0.5,0.0,0.45,0.0,0.2222222222222222,0.050748620223090936,0.0,0.0,1.0,1.0
149,0,0.5,0.0,0.525,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
150,0,0.5,0.0,0.6375,0.0,0.0,0.02444717185746977,0.0,0.0,1.0,0.0
151,1,0.0,1.0,0.275,0.125,0.0,0.12999454257145598,0.0,0.0,1.0,1.0
152,0,1.0,0.0,0.6875,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
153,0,1.0,0.0,0.5,0.0,0.2222222222222222,0.028302115124416098,0.0,0.0,1.0,1.0
154,0,1.0,0.0,0.35,0.0,0.0,0.014273049437744325,0.0,0.0,1.0,0.0
155,0,0.0,0.0,0.6375,0.0,0.1111111111111111,0.11980421963065935,1.0,0.0,0.0,1.0
156,1,1.0,1.0,0.2,0.0,0.0,0.015094396337354966,0.0,1.0,0.0,0.0
157,0,1.0,0.0,0.375,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
158,0,1.0,0.0,0.35,0.0,0.0,0.016908073949327893,0.0,0.0,1.0,0.0
159,0,1.0,0.0,0.35,1.0,0.2222222222222222,0.13575255909676823,0.0,0.0,1.0,1.0
160,0,1.0,0.0,0.55,0.0,0.1111111111111111,0.031425107138144774,0.0,0.0,1.0,1.0
161,1,0.5,1.0,0.5,0.0,0.0,0.030741952635141623,0.0,0.0,1.0,0.0
162,0,1.0,0.0,0.325,0.0,0.0,0.015175789316712771,0.0,0.0,1.0,0.0
163,0,1.0,0.0,0.2125,0.0,0.0,0.016908073949327893,0.0,0.0,1.0,0.0
164,0,1.0,0.0,0.0125,0.5,0.1111111111111111,0.07746484096553544,0.0,0.0,1.0,1.0
165,1,1.0,0.0,0.1125,0.0,0.2222222222222222,0.04006213192611313,0.0,0.0,1.0,1.0
166,1,0.0,1.0,0.35,0.0,0.1111111111111111,0.10735285047192313,0.0,0.0,1.0,1.0
167,0,1.0,1.0,0.5625,0.125,0.4444444444444444,0.05445717323939373,0.0,0.0,1.0,1.0
168,0,0.0,0.0,0.35,0.0,0.0,0.050602229972447406,0.0,0.0,1.0,0.0
169,0,1.0,0.0,0.35,0.0,0.0,0.11027245763075773,0.0,0.0,1.0,0.0
170,0,0.0,0.0,0.7625,0.0,0.0,0.06538764528744409,0.0,0.0,1.0,0.0
171,0,1.0,0.0,0.05,0.5,0.1111111111111111,0.056848213999904744,0.0,1.0,0.0,1.0
172,1,1.0,1.0,0.0125,0.125,0.1111111111111111,0.021730754366528396,0.0,0.0,1.0,1.0
173,0,1.0,0.0,0.2625,0.0,0.0,0.015468569817999833,0.0,0.0,1.0,0.0
174,0,0.0,0.0,0.7,0.0,0.0,0.05991421140938287,1.0,0.0,0.0,0.0
175,0,1.0,0.0,0.225,0.125,0.1111111111111111,0.015330377421392339,0.0,0.0,1.0,1.0
176,0,1.0,0.0,0.35,0.375,0.1111111111111111,0.04970768794751499,0.0,0.0,1.0,1.0
177,0,0.0,1.0,0.625,0.0,0.0,0.05604306762136532,1.0,0.0,0.0,0.0
178,0,0.5,0.0,0.375,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
179,0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180,0,1.0,1.0,0.35,1.0,0.2222222222222222,0.13575255909676823,0.0,0.0,1.0,1.0
181,0,0.5,0.0,0.35,0.0,0.0,0.02937564362913533,1.0,0.0,0.0,0.0
182,0,1.0,0.0,0.1125,0.5,0.2222222222222222,0.061264319894317944,0.0,0.0,1.0,1.0
183,1,0.5,0.0,0.0125,0.25,0.1111111111111111,0.0761229303346364,0.0,0.0,1.0,1.0
184,1,1.0,1.0,0.05,0.0,0.2222222222222222,0.04298993693898376,0.0,0.0,1.0,1.0
185,0,0.0,0.0,0.35,0.0,0.0,0.09759350042902103,0.0,0.0,1.0,0.0
186,1,1.0,1.0,0.35,0.125,0.0,0.030253985132996517,0.0,1.0,0.0,1.0
187,1,0.0,0.0,0.5625,0.0,0.0,0.051822148727810165,0.0,0.0,1.0,0.0
188,0,1.0,0.0,0.5,0.125,0.1111111111111111,0.030253985132996517,0.0,1.0,0.0,1.0
189,0,1.0,0.0,0.45,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
190,1,0.5,1.0,0.4,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
191,0,0.5,0.0,0.2375,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
192,1,1.0,1.0,0.2375,0.125,0.0,0.015330377421392339,0.0,0.0,1.0,1.0
193,1,0.5,0.0,0.0375,0.125,0.1111111111111111,0.050748620223090936,0.0,0.0,1.0,1.0
194,1,0.0,1.0,0.55,0.0,0.0,0.05410739813385612,1.0,0.0,0.0,0.0
195,1,0.0,1.0,0.725,0.0,0.0,0.2859895551532101,1.0,0.0,0.0,0.0
196,0,1.0,0.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
197,0,1.0,0.0,0.525,0.0,0.1111111111111111,0.01640390592611157,0.0,0.0,1.0,1.0
198,1,1.0,1.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
199,0,0.5,1.0,0.3,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
200,0,1.0,0.0,0.35,0.0,0.0,0.018542765081513996,0.0,0.0,1.0,0.0
201,0,1.0,0.0,0.35,1.0,0.2222222222222222,0.13575255909676823,0.0,0.0,1.0,1.0
202,0,1.0,0.0,0.425,0.0,0.0,0.012678957201736696,0.0,0.0,1.0,0.0
203,0,1.0,0.0,0.5625,0.0,0.0,0.014102260811993537,1.0,0.0,0.0,0.0
204,1,1.0,0.0,0.225,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
205,0,1.0,1.0,0.025,0.0,0.1111111111111111,0.02042143996477265,0.0,0.0,1.0,1.0
206,0,1.0,0.0,0.4,0.125,0.0,0.030937139635999665,0.0,0.0,1.0,1.0
207,1,1.0,0.0,0.325,0.0,0.0,0.036670757786204655,1.0,0.0,0.0,0.0
208,1,1.0,1.0,0.2,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
209,1,0.0,0.0,0.5,0.0,0.0,0.060507970265993034,1.0,0.0,0.0,0.0
210,0,1.0,0.0,0.3,0.0,0.0,0.013760683560491965,0.0,0.0,1.0,0.0
211,1,0.5,1.0,0.4375,0.0,0.0,0.04098927018018883,0.0,0.0,1.0,0.0
212,0,1.0,0.0,0.275,0.0,0.0,0.014151057562208049,0.0,0.0,1.0,0.0
213,0,0.5,0.0,0.375,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
214,0,1.0,0.0,0.35,0.125,0.0,0.015126992566498259,0.0,1.0,0.0,1.0
215,1,0.0,1.0,0.3875,0.125,0.0,0.22109807522194713,1.0,0.0,0.0,1.0
216,1,1.0,1.0,0.3375,0.0,0.0,0.015468569817999833,0.0,0.0,1.0,0.0
217,0,0.5,0.0,0.525,0.125,0.0,0.05270049023167135,0.0,0.0,1.0,1.0
218,1,0.0,1.0,0.4,0.0,0.0,0.14891148113361488,1.0,0.0,0.0,0.0
219,0,0.5,0.0,0.375,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
220,1,1.0,0.0,0.2,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
221,0,0.5,0.0,0.3375,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
222,0,1.0,0.0,0.6375,0.0,0.0,0.015712553569072387,0.0,0.0,1.0,0.0
223,0,1.0,0.0,0.35,0.0,0.0,0.015411575213749284,0.0,0.0,1.0,0.0
224,1,0.0,0.0,0.475,0.125,0.0,0.17566830077223786,0.0,0.0,1.0,1.0
225,0,1.0,0.0,0.275,0.0,0.0,0.01824998458022693,0.0,0.0,1.0,0.0
226,1,0.5,0.0,0.2375,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
227,0,1.0,0.0,0.25,0.0,0.0,0.014151057562208049,0.0,0.0,1.0,0.0
228,0,0.5,0.0,0.225,0.0,0.0,0.025374310111545468,0.0,0.0,1.0,0.0
229,0,1.0,1.0,0.35,0.375,0.1111111111111111,0.04970768794751499,0.0,0.0,1.0,1.0
230,1,0.0,1.0,0.4375,0.125,0.0,0.16293234896625058,0.0,0.0,1.0,1.0
231,0,1.0,0.0,0.3625,0.0,0.0,0.015175789316712771,0.0,0.0,1.0,0.0
232,0,0.5,0.0,0.7375,0.0,0.0,0.026350245115835676,0.0,0.0,1.0,0.0
233,1,1.0,1.0,0.0625,0.5,0.2222222222222222,0.061264319894317944,0.0,0.0,1.0,1.0
234,0,0.5,0.0,0.3,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
235,0,1.0,1.0,0.35,0.0,0.0,0.014736618564782174,0.0,0.0,1.0,0.0
236,0,0.5,0.0,0.55,0.125,0.0,0.050748620223090936,0.0,0.0,1.0,1.0
237,1,0.5,1.0,0.1,0.0,0.2222222222222222,0.05123658772523604,0.0,0.0,1.0,1.0
238,0,0.5,0.0,0.2375,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
239,0,0.5,0.0,0.4125,0.0,0.0,0.023959204355324663,0.0,0.0,1.0,0.0
240,0,1.0,1.0,0.35,0.125,0.0,0.028212719478023115,1.0,0.0,0.0,1.0
241,1,1.0,1.0,0.35,0.125,0.0,0.030253985132996517,0.0,1.0,0.0,1.0
242,0,0.5,0.0,0.3625,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
243,0,1.0,0.0,0.275,0.0,0.0,0.013907073811135496,0.0,0.0,1.0,0.0
244,0,1.0,0.0,0.375,0.0,0.0,0.014102260811993537,1.0,0.0,0.0,0.0
245,0,0.0,0.0,0.55,0.25,0.0,0.17566830077223786,0.0,1.0,0.0,1.0
246,0,1.0,1.0,0.3125,0.0,0.0,0.015175789316712771,0.0,0.0,1.0,0.0
247,1,0.5,1.0,0.3,0.0,0.2222222222222222,0.028302115124416098,0.0,0.0,1.0,1.0
248,1,0.0,0.0,0.4625,0.125,0.1111111111111111,0.10257896680493714,0.0,0.0,1.0,1.0
249,0,0.5,0.0,0.675,0.125,0.0,0.050748620223090936,0.0,0.0,1.0,1.0
250,0,1.0,0.0,0.35,0.0,0.0,0.014151057562208049,0.0,0.0,1.0,0.0
251,0,1.0,1.0,0.3625,0.125,0.1111111111111111,0.02042143996477265,0.0,0.0,1.0,1.0
252,0,0.0,0.0,0.775,0.0,0.0,0.051822148727810165,0.0,0.0,1.0,0.0
253,0,1.0,0.0,0.375,0.125,0.0,0.031425107138144774,0.0,0.0,1.0,1.0
254,0,1.0,1.0,0.5125,0.0,0.2222222222222222,0.039452172548431745,0.0,0.0,1.0,1.0
255,1,1.0,1.0,0.3625,0.0,0.2222222222222222,0.029757819776815374,1.0,0.0,0.0,1.0
256,1,0.0,1.0,0.35,0.0,0.0,0.15458810467956932,1.0,0.0,0.0,0.0
257,1,0.0,1.0,0.375,0.0,0.0,0.16883675574220638,0.0,0.0,1.0,0.0
258,1,0.0,1.0,0.4375,0.0,0.0,1.0,1.0,0.0,0.0,0.0
259,1,0.5,1.0,0.625,0.0,0.1111111111111111,0.050748620223090936,0.0,0.0,1.0,1.0
260,0,1.0,0.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
261,1,1.0,0.0,0.0375,0.5,0.2222222222222222,0.061264319894317944,0.0,0.0,1.0,1.0
262,0,0.0,0.0,0.65,0.125,0.1111111111111111,0.1554664461834305,0.0,0.0,1.0,1.0
263,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
264,0,1.0,1.0,0.35,0.0,0.0,0.015126992566498259,0.0,1.0,0.0,0.0
265,0,0.5,0.0,0.45,0.0,0.0,0.020494635090094415,0.0,0.0,1.0,0.0
266,0,1.0,0.0,0.2,0.5,0.1111111111111111,0.07746484096553544,0.0,0.0,1.0,1.0
267,1,1.0,0.0,0.3125,0.125,0.0,0.015175789316712771,0.0,0.0,1.0,1.0
268,1,0.0,1.0,0.725,0.0,0.1111111111111111,0.2995388511917728,0.0,0.0,1.0,1.0
269,1,0.0,1.0,0.4375,0.0,0.0,0.2647385704347907,0.0,0.0,1.0,0.0
270,0,0.0,0.0,0.35,0.0,0.0,0.060507970265993034,0.0,0.0,1.0,0.0
271,1,1.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,1.0,0.0
272,1,0.5,1.0,0.5125,0.0,0.1111111111111111,0.0380614651673182,0.0,0.0,1.0,1.0
273,0,0.0,0.0,0.4625,0.0,0.1111111111111111,0.057970539254838485,1.0,0.0,0.0,1.0
